data_arquivo,data_dado,posto,ena
2020-09-11,2020-08-13,24.0,183.12085480388433
2020-09-11,2020-08-14,24.0,183.3382516318117
2020-09-11,2020-08-15,24.0,181.28644746363173
2020-09-11,2020-08-16,24.0,179.49121466741963
2020-09-11,2020-08-17,24.0,179.7802703958755
2020-09-11,2020-08-18,24.0,178.95508819393032
2020-09-11,2020-08-19,24.0,176.16440486791578
2020-09-11,2020-08-20,24.0,175.49214854709484
2020-09-11,2020-08-21,24.0,173.9367562856852
2020-09-11,2020-08-22,24.0,171.32935051766208
2020-09-11,2020-08-23,24.0,169.46011448472453
2020-09-11,2020-08-24,24.0,169.2195524798236
2020-09-11,2020-08-25,24.0,169.25391495923716
2020-09-11,2020-08-26,24.0,167.9102459676449
2020-09-11,2020-08-27,24.0,166.75232617327543
2020-09-11,2020-08-28,24.0,165.489381357097
2020-09-11,2020-08-29,24.0,163.10962784307569
2020-09-11,2020-08-30,24.0,159.95025587000137
2020-09-11,2020-08-31,24.0,157.41723738914226
2020-09-11,2020-09-01,24.0,154.77416509112354
2020-09-11,2020-09-02,24.0,154.9026044781951
2020-09-11,2020-09-03,24.0,153.3004890393751
2020-09-11,2020-09-04,24.0,150.49894889908217
2020-09-11,2020-09-05,24.0,148.33042519455026
2020-09-11,2020-09-06,24.0,146.93530526571925
2020-09-11,2020-09-07,24.0,145.60281276024799
2020-09-11,2020-09-08,24.0,144.72017312260851
2020-09-11,2020-09-09,24.0,143.5759063497082
2020-09-11,2020-09-10,24.0,140.09349717251746
2020-09-11,2020-08-12,25.0,106.52822409755049
2020-09-11,2020-08-13,25.0,106.26143329512232
2020-09-11,2020-08-14,25.0,105.18935931675064
2020-09-11,2020-08-15,25.0,104.23863309373057
2020-09-11,2020-08-16,25.0,103.47625981657545
2020-09-11,2020-08-17,25.0,102.45541777024894
2020-09-11,2020-08-18,25.0,101.37875451845005
2020-09-11,2020-08-19,25.0,100.43253299154007
2020-09-11,2020-08-20,25.0,99.76289897610596
2020-09-11,2020-08-21,25.0,98.79285004435974
2020-09-11,2020-08-22,25.0,97.83786664282988
2020-09-11,2020-08-23,25.0,97.38969204892513
2020-09-11,2020-08-24,25.0,96.71959794870638
2020-09-11,2020-08-25,25.0,96.65819771915022
2020-09-11,2020-08-26,25.0,96.02660161962262
2020-09-11,2020-08-27,25.0,95.53979558959891
2020-09-11,2020-08-28,25.0,93.37960066334429
2020-09-11,2020-08-29,25.0,91.39309181617504
2020-09-11,2020-08-30,25.0,91.15623876306563
2020-09-11,2020-08-31,25.0,90.77480788173555
2020-09-11,2020-09-01,25.0,89.51703271554634
2020-09-11,2020-09-02,25.0,88.91885156818279
2020-09-11,2020-09-03,25.0,87.91142932216562
2020-09-11,2020-09-04,25.0,85.98614395154476
