,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,FIM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
5 - Gerações Térmicas das Usinas Tipo I e Tipo II-A,,,,,,,,,,,,,,,,,,,,,,,,
5.1 - Valores de Média Diária das Usinas Térmicas Tipo I,,,,,,,,,,,,,,,,,,,,,,,,
Usinas,,Razão do , Capacidade (*),, Média Diária,,Média Diária,,Obs.,,,,,,,,,,,,,,,
,,Despacho,Instal.,Dispon.,Prog.,Verif.,   Difer. E,Var%(**),,,,,,,,,,,,,,,,
    S U D E S T E / C E N T R O - O E S T E,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Angra II,,EN,1350,1350,1350,1365,---,---,---,*,,,,,,,,,,,,,,
Angra I,,EN,640,640,640,648,---,---,---,*,,,,,,,,,,,,,,
Norte Fluminense,,EN,828,540,540,551,11,2%,(3),*,,,,,,,,,,,,,,
Baixada Fluminense,,EN,533,420,250,260,10,4%,(3),*,,,,,,,,,,,,,,
Santa Cruz Nova,,EN,350,262,262,321,59,23%,(2),*,,,,,,,,,,,,,,
Do Atlântico,,IN/EN,490,320,320,349,29,9%,(3),*,,,,,,,,,,,,,,
Luiz O. R. Melo,,EN,204,196,196,192,-4,-2%,---,*,,,,,,,,,,,,,,
Três Lagoas,,EN/GFOM,386,270,270,264,-6,-2%,(3),*,,,,,,,,,,,,,,
Termorio,,IN/EN,1058,740,740,911,171,23%,(3),*,,,,,,,,,,,,,,
Juiz de Fora,,---,87,82,0,0,---,---,---,*,,,,,,,,,,,,,,
Cubatão,,IN,216,200,200,200,---,0%,---,*,,,,,,,,,,,,,,
